P,T,TNAME,RSV,ST,F,L,DOC,PLC,P1,P2,P3,P4,P5,PTYP,LOCKED_ABOVE,LOCKED_BELOW,LOCKED_LEFT,LOCKED_RIGHT,S1,S2,LAST_USE
2.16,846,16L-A-102-08,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.17,10760,7.6-A-60-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.18,750,20L-A-99-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.19,10780,7.8-A-60-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.2,746,16L-A-101-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.21,10800,8-A-60-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.23,3815,1.5X6-A-20-38,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.25,3810,1X6-A-20-38,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.27,3808,0.8X6-A-20-38,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.29,2032,2L-A-40-20,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.31,3740,4X13-A-26-37,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.33,3730,3X11-A-22-37,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.35,3720,2X8-A-22-37,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.37,716,16S-A-50-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.39,612,12-A-35-06,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.41,2002,2S-A-24-20,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.43,835,5L-A-45-08,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.45,2033,3L-A-39-20,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.47,2034,4L-A-44-20,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.49,2036,6L-A-49-20,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.51,2004,4S-A-27-20,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.54,10700,7-A-60-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.55,10820,8.2-A-70-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.56,1408,8H7-A-70-14,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.57,10840,8.4-A-70-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.58,1410,10H7-A-80-14,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.59,10850,8.5-A-70-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.6,1412,12H7-A-80-14,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.61,10860,8.6-A-70-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.62,1414,14H7-A-85-14,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.63,10880,8.8-A-70-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.64,1415,15H7-A-85-14,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.65,10900,9-A-70-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.66,1416,16H7-A-100-14,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.67,10920,9.2-A-70-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.68,1261,G1_8S-A-61.5-12,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.69,10940,9.4-A-70-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
2.7,1281,G1_8D-A-61.5-12,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
